,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
186,186,RGI60-15.10181,15,15-Feb,Cn5O194B0018,86.657,28.176,5.827,Glacier,Land-terminating,Glacier or ice cap,SRTM,3,,,6249.980469,6259,5688,6819,6819,5688,0,3,6.263398046,0,,,everest,,0
187,187,RGI60-15.10459,15,15-Feb,Cn5O197B0034,88.197,27.961,5.813,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5851.902344,5823,5296,6448,6448,5296,0,4,6.089090255,0,,,sikkim,,0
188,188,RGI60-15.02888,15,15-Feb,,88.00534716,27.86812893,5.718,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5606.125977,5567,5126,6301,6301,5126,0,4,7.948116226,2,,,sikkim,1,1
189,189,RGI60-15.10834,15,15-Feb,Cn5O212A0182 Changlie Glacier,90.579,28.224,5.667,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5917.571289,5849,5520,6660,6653,5520,0.001735035,4,4.586025971,0,,,bhutan,,0
190,190,RGI60-15.10285,15,15-Jan,Cn5O195A0018 Xiuke Glacier,85.572,28.553,5.65,Glacier,Land-terminating,Glacier or ice cap,SRTM,1,,,5921.552246,5750,5368,7274,7274,5369,0,1,5.986188309,1,930,,poiqu,,0
191,191,RGI60-15.04137,15,15-Jan,,84.96648014,28.57194595,5.609,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,5510.805176,5365,4593,6771,6771,4593,0,2,5.772436359,0,,,,,
192,192,RGI60-15.02833,15,15-Feb,,88.20705676,27.65486797,5.572,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5128.486328,5099,4531,5914,5914,4531,0,5,6.909808435,0,,,sikkim,,1
193,193,RGI60-15.02594,15,15-Feb,,90.78938294,28.03190231,5.522,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5222.043457,5298,4842,5610,5610,4842,0,4,6.747568394,0,,,bhutan,1,1
194,194,RGI60-15.10444,15,15-Feb,Cn5O197B004,88.132,27.989,5.486,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,6243.758789,6257,5706,6794,6794,5706,0,1,2.925251368,0,,,sikkim,,0
195,195,RGI60-15.05736,15,15-Jan,,82.56715061,29.42792403,5.419,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,5172.753906,5118,4831,6106,6106,4831,0,6,5.913720631,0,,,central_west_one,,0
196,196,RGI60-15.11014,15,15-Jan,Cn5O257E0009,82.618,29.892,5.411,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5484.259277,5432,4997,6083,6083,4997,0,5,5.939720631,0,,,central_west_one,,0
197,197,RGI60-15.09338,15,15-Jan,Cn5O186B0017 Weisapu Glacier,85.407,28.642,5.358,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5519.220215,5491.5,4733,6638,6638,4734,0,5,9.678811393,2,,,poiqu,1,1
198,198,RGI60-15.10464,15,15-Feb,Cn5O197B0029 Chutanjima Glacier,88.271,27.976,5.319,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,5915.266602,5922,5332,6553,6553,5332,0,2,5.722481815,1,250,,sikkim,,0
199,199,RGI60-15.03986,15,15-Jan,,84.658,28.388,5.293,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5413.543457,5344,4646,6625,6625,4646,0,4,4.76156421,0,,,,,
200,200,RGI60-15.03337,15,15-Feb,,88.80252621,27.91743353,5.267,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5673.566406,5649,5174,6471,6471,5174,0,1,7.33556421,2,,,sikkim,,1
201,201,RGI60-15.05196,15,15-Jan,,82.15546987,30.0970229,5.263,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5219.111328,5182,4870,5819,5819,4870,0,5,6.657716447,0,,,central_west_one,1,1
202,202,RGI60-15.10076,15,15-Feb,Cn5O193B0054,86.961,28.12,5.249,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,6359.52832,6359,5793,6927,6927,5793,0,1,2.6746215,0,,,everest,,
203,203,RGI60-15.05575,15,15-Jan,,82.60945129,29.40627289,5.249,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5509.995117,5512,4970,6276,6276,4970,0,5,5.242946894,0,,,central_west_one,,1
